id,commercial_name,active,inscription_date,registry_num,formula,active_ingredient,pharma_comp,pharmaceutical_form,concentration,level_price,range_price,min_presentation_price,max_presentation_price,created_at,updated_at,hash
2176,RAPIDOL-A 500 TABLETAS,A,1986-12-03, 14368,Paracetamol 500 mg.,Paracetamol,LABORATORIO ANCALMO,TABLETAS,500 mg.,,,,,2019-12-17 17:41:28,2019-12-17 17:41:28,1029833fddffb8da8f9ca816a9e57596
2177,AMBROXOL CLORHIDRATO + LORATADINA SELECTPHARMA 15mg-2.5mg/5mL JARABE  ,A,2004-04-23, RG0993120105,Clorhidrato de Ambroxol 15 mg. + Loratadina 2.5 mg.,Clorhidrato de Ambroxol + Loratadina,LABORATORIOS LAMFER,JARABE,15 mg. + 2.5 mg.,,,,,2019-12-17 17:41:28,2019-12-17 17:41:28,12c1554b00b883642b6d65bf7780a0e7
2178,VITAMINA C MK 500 mg TABLETAS,A,1964-02-17,040,Vitamina C 500 mg.,Vitamina C,"CORPORACION BONIMA, S.A. DE C.V.",TABLETAS,500 mg.,2.43,$4.24 - $18.41,4.24,18.41,2019-12-17 17:41:28,2019-12-17 17:41:28,a377a44a11a492a49c96761f0d3a54c5
2179,NEOPOLIDEXAM SOLUCION OFTALMICO,A,1977-12-20,10006,NEOMICINA 2.8 mg. + NEOMICINA 2.8 mg. + DEXAMETASONA FOSFATO   1 mg. + DEXAMETASONA FOSFATO   1 mg. + POLIMIXINA SULFATO 5 UI + POLIMIXINA SULFATO 5 UI,NEOMICINA + NEOMICINA + DEXAMETASONA FOSFATO   + DEXAMETASONA FOSFATO   + POLIMIXINA SULFATO + POLIMIXINA SULFATO,LABORATORIOS LOPEZ,SOLUCION OFTALMICA,2.8 mg. + 2.8 mg. + 1 mg. + 1 mg. + 5 UI + 5 UI,1.91,$9.55 - $9.55,9.55,9.55,2019-12-17 17:41:28,2019-12-17 17:41:28,8fdaa56b8cb0e584f0abaeff3aff33ee
2180,BACTRIM FORTE 800/160 mg COMPRIMIDOS ,A,1977-12-20,10007,Sulfametoxazol 800 mg. + Trimetoprim 160 mg.,Sulfametoxazol + Trimetoprim,PRODUCTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,COMPRIMIDO,800 mg. + 160 mg.,0.45,$4.50 - $4.50,4.5,4.5,2019-12-17 17:41:28,2019-12-17 17:41:28,80917321be63bad705355f44c846f8c7
2181,VENTOLIN SOLUCION PARA RESPIRADOR 0.5%,A,1978-12-20,10015,Sulfato de salbutamol 0.6 %,Sulfato de salbutamol,GLAXO OPERATIONS UK LTD. TRADING AS GLAXO WELLCOME OPERATIONS,SOLUCION,0.6 %,0.66,$7.72 - $10.86,7.72,10.86,2019-12-17 17:41:28,2019-12-17 17:41:28,13e26a513cb4b41f033332d45ff3a65d
2182,HIDROCORTAL AL 1 % UNGUENTO,A,1978-01-24,10038,Hidrocortisona acetato 1 g.,Hidrocortisona acetato,LABORATORIO COFASA,UNGUENTO,1 g.,0.38,$5.75 - $5.75,5.75,5.75,2019-12-17 17:41:28,2019-12-17 17:41:28,9563e060325ba2db896be9d2d27ae528
2183,SALUDERMA CREMA,A,1978-01-24,10040,Neomicina 0.5 g. + Hidrocortisona acetato 1 g. + D-Alfa tocoferol 1.5 g.,Neomicina + Hidrocortisona acetato + D-Alfa tocoferol,LABORATORIO COFASA,CREMA,0.5 g. + 1 g. + 1.5 g.,0.56,$8.33 - $8.33,8.33,8.33,2019-12-17 17:41:28,2019-12-17 17:41:28,490e1d3f8f6a99849a646729d97de858
2184,TENORMIN 100 mg TABLETAS,A,1978-02-15,10064,Atenolol 100 mg.,Atenolol,ASTRAZENECA S.A. DE C.V.,TABLETAS,100 mg.,0.45,$6.24 - $6.24,6.24,6.24,2019-12-17 17:41:28,2019-12-17 17:41:28,c977d7d8ad3ff574001b587401890f4f
2185,DOGMATIL 50 mg CAPSULAS,A,1978-02-07,10066,SULPIRIDE 50 mg.,SULPIRIDE,DELPHARM DIJON,CAPSULA,50 mg.,0.44,$13.23 - $13.27,13.23,13.27,2019-12-17 17:41:28,2019-12-17 17:41:28,07ccd81db6df7121c1a8bb6e066d1c3b
